sector_code,sector_name,factor_value,currency_code,factor_unit
332996/US,Fabricated pipe and pipe fittings,0.424269127161808,USD,kgco2e_per_usd
33299A/US,"Ammunition, arms, ordnance, and related accessories",0.2819404381477501,USD,kgco2e_per_usd
332999/US,Misc. fabricated metal products,0.5161593835787663,USD,kgco2e_per_usd
333111/US,Farm machinery and equipment,0.3598302243008629,USD,kgco2e_per_usd
333112/US,Lawn and garden equipment,0.2819322556403385,USD,kgco2e_per_usd
333120/US,Construction machinery,0.3440264221117534,USD,kgco2e_per_usd
333130/US,Mining and oil/gas field machinery,0.403854531001118,USD,kgco2e_per_usd
333242/US,Semiconductor machinery,0.2045298752652031,USD,kgco2e_per_usd
33329A/US,"Machinery for the paper, textile, food or other industries (except semiconductor machinery)",0.2887940056415014,USD,kgco2e_per_usd
333314/US,Optical instruments and lenses,0.231975821925404,USD,kgco2e_per_usd
333316/US,Photography and photocopying equipment,0.2188083130785319,USD,kgco2e_per_usd
333318/US,Other commercial and service industry machinery,0.3245823780783534,USD,kgco2e_per_usd
333414/US,Heating equipment other than warm air furnaces,0.3876903776642486,USD,kgco2e_per_usd
333415/US,"Air conditioning, refrigeration, and warm air heating equipment",0.4451121197557807,USD,kgco2e_per_usd
333413/US,Air purification and ventilation equipment,0.3581880368986956,USD,kgco2e_per_usd
333511/US,Industrial molds,0.3265716283389963,USD,kgco2e_per_usd
333514/US,"Special tools, dies, jigs, and fixtures",0.2915718252807052,USD,kgco2e_per_usd
333517/US,Metal cutting and forming machine tools,0.2574540612363938,USD,kgco2e_per_usd
33351B/US,"Cutting and machine tool accessory, rolling mill, and other metalworking machines",0.2856075417367565,USD,kgco2e_per_usd
333611/US,Turbines and turbine generator sets,0.2688369750488627,USD,kgco2e_per_usd
333612/US,"Speed changers, industrial high-speed drives, and gears",0.2539064316819026,USD,kgco2e_per_usd
333613/US,Mechanical power transmission equipment,0.3265405511276459,USD,kgco2e_per_usd
333618/US,Other engine equipment,0.3992032352969316,USD,kgco2e_per_usd
333912/US,Air and gas compressors,0.3031641937186897,USD,kgco2e_per_usd
333914/US,Pumps and pumping equipment,0.2898920660652641,USD,kgco2e_per_usd
333920/US,Material handling equipment,0.3894726382195938,USD,kgco2e_per_usd
333991/US,Power tools,0.3064903145811025,USD,kgco2e_per_usd
333993/US,Packaging machinery,0.1854639268643942,USD,kgco2e_per_usd
333994/US,Industrial process furnaces and ovens,0.2792444891860499,USD,kgco2e_per_usd
33399A/US,"Welding and Soldering Equipment, Scales and Balances, and other general purpose machinery",0.3442558855919666,USD,kgco2e_per_usd
33399B/US,"Hydraulic pumps, motors, cylinders and actuators",0.2996822276107972,USD,kgco2e_per_usd
334111/US,Computers,0.04998511892032928,USD,kgco2e_per_usd
334112/US,Computer storage device readers,0.07749737863341723,USD,kgco2e_per_usd
334118/US,Computer terminals and other computer peripheral equipment,0.1753824825609228,USD,kgco2e_per_usd
334210/US,Telephones,0.1037070760480744,USD,kgco2e_per_usd
334220/US,Wireless communications,0.09778656816539127,USD,kgco2e_per_usd
334290/US,Communications equipment,0.09012098596683783,USD,kgco2e_per_usd
334413/US,Semiconductors,0.2307881768392851,USD,kgco2e_per_usd
334418/US,Printed circuit and electronic assembly,0.1068513033991329,USD,kgco2e_per_usd
33441A/US,"Electronic capacitors, resistors, coils, transformers, connectors and other components (except  semiconductors and printed circuit assemblies)",0.138158756971462,USD,kgco2e_per_usd
334510/US,Electromedical appartuses,0.1444237905602317,USD,kgco2e_per_usd
334511/US,Navigation instruments,0.105019835990918,USD,kgco2e_per_usd
334512/US,Automatic controls for HVAC and refrigeration equipment,0.08909019757069521,USD,kgco2e_per_usd
334513/US,Industrial process variable instruments,0.08101170168568152,USD,kgco2e_per_usd
